                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5953,                 4.2422,                 4.2637,                 0.0024,                0.09207,                0.00199,                0.00047,                 3.4717,                 4.2556,                 4.1586,                0.00012,                0.00012,                0.00012
                      2,                 3.5338,                 4.0036,                 4.2319,                0.00227,                0.08696,                0.00658,                0.00094,                 3.4718,                 4.2569,                 4.1576,             0.00024713,             0.00024713,             0.00024713
                      3,                 3.5244,                 3.9485,                 4.1637,                0.00227,                0.08696,                0.00168,                0.00051,                 3.4719,                 4.2526,                 4.1561,              0.0003604,              0.0003604,              0.0003604
                      4,                 3.5239,                 3.7973,                 4.1235,                0.00253,                0.09719,                0.00695,                0.00153,                  3.471,                 4.2453,                  4.155,             0.00045981,             0.00045981,             0.00045981
                      5,                  3.492,                 3.8339,                 4.0547,                 0.0026,                0.09974,                0.00336,                0.00077,                 3.4655,                 4.2193,                 4.1559,             0.00054536,             0.00054536,             0.00054536
                      6,                 3.3048,                 3.7392,                 3.9336,                 0.0028,                0.10742,                0.00306,                0.00073,                 3.4583,                 4.1898,                 4.1613,             0.00061705,             0.00061705,             0.00061705
                      7,                 3.2573,                 3.6055,                 3.8365,                0.00287,                0.10997,                0.00299,                0.00072,                 3.4595,                 4.1436,                  4.179,             0.00067488,             0.00067488,             0.00067488
                      8,                 3.1021,                 3.6329,                 3.7283,                 0.0028,                0.10742,                0.00258,                0.00065,                 3.4604,                 4.1261,                 4.1833,             0.00071885,             0.00071885,             0.00071885
                      9,                 3.0104,                 3.4645,                 3.6452,                0.00267,                 0.1023,                0.00275,                0.00063,                 3.4583,                 4.1231,                 4.2221,             0.00074896,             0.00074896,             0.00074896
                     10,                 3.0198,                 3.4909,                 3.5707,                0.00247,                0.09463,                0.00262,                0.00061,                 3.4615,                 4.1226,                 4.2355,             0.00076521,             0.00076521,             0.00076521
                     11,                 2.7981,                 3.8501,                 3.4482,                0.00293,                0.11253,                0.00258,                0.00076,                 3.4659,                 4.1223,                 4.2286,              0.0007676,              0.0007676,              0.0007676
                     12,                 2.6645,                 3.6859,                 3.2494,                0.00273,                0.10486,                0.00235,                0.00076,                 3.4591,                 4.2008,                 4.2344,             0.00075613,             0.00075613,             0.00075613
                     13,                 2.6902,                 3.6794,                 3.2082,                0.00287,                0.10997,                0.00225,                0.00074,                 3.4515,                 4.2138,                 4.2407,              0.0007308,              0.0007308,              0.0007308
                     14,                 2.7046,                 3.7509,                 3.1665,                0.00294,                0.10486,                0.00228,                0.00066,                 3.4436,                 4.2317,                 4.2429,             0.00069161,             0.00069161,             0.00069161
                     15,                 2.6511,                 3.5107,                 3.1311,                0.00291,                0.09719,                0.00217,                 0.0006,                 3.4316,                 4.2431,                 4.2243,               0.000614,               0.000614,               0.000614
                     16,                 2.6008,                 3.4959,                 3.0509,                0.00366,                0.12276,                0.00241,                0.00082,                 3.3675,                  4.235,                 4.1612,               0.000614,               0.000614,               0.000614
                     17,                 2.6046,                 3.4292,                 3.0156,                0.00461,                0.16113,                0.00296,                0.00108,                   3.31,                 4.2431,                 4.1024,               0.000515,               0.000515,               0.000515
                     18,                 2.4953,                  3.543,                 2.9978,                0.00553,                0.21228,                0.00862,                0.00295,                 3.2157,                 4.2231,                 4.0102,               0.000416,               0.000416,               0.000416
                     19,                 2.4843,                 3.3958,                 2.9898,                 0.0066,                 0.2532,                0.01339,                0.00586,                 3.1014,                 4.1207,                 3.8624,               0.000317,               0.000317,               0.000317
                     20,                 2.5499,                 3.3699,                   2.95,                0.00651,                0.18414,                0.02709,                0.01117,                 2.8337,                 3.8948,                 3.5297,               0.000218,               0.000218,               0.000218
